STATION,LATITUDE,LONGITUDE,ALTIUDE,NAME
45001,22.20 ,114.02 ,79.0 ,香港
45004,22.32 ,114.17 ,66.0 ,香港
45005,22.30 ,114.17 ,33.0 ,香港
45007,22.32 ,114.20 ,24.0 ,香港
45009,22.18 ,114.30 ,56.0 ,香港
45011,22.20 ,113.53 ,59.0 ,澳门
50136,53.47 ,122.37 ,297.3 ,漠河
50204,52.83 ,123.18 ,551.0 ,阿木尔
50246,52.32 ,124.72 ,358.9 ,塔河
50247,52.05 ,123.67 ,521.6 ,呼中
50349,51.70 ,124.33 ,496.1 ,新林
50353,51.72 ,126.65 ,178.2 ,呼玛
50425,50.25 ,120.18 ,582.3 ,额尔古纳右旗
50431,50.78 ,121.52 ,981.3 ,额尔古纳左旗
50434,50.48 ,121.68 ,733.4 ,图里河
50442,50.40 ,124.12 ,372.1 ,大兴安岭
50445,50.58 ,123.73 ,424.7 ,鄂伦春旗
50468,50.25 ,127.45 ,166.9 ,黑河
50514,49.57 ,117.43 ,662.0 ,满州里
50524,49.32 ,119.43 ,577.6 ,陈巴尔虎旗
50525,49.15 ,119.75 ,621.4 ,鄂温克旗
50526,49.28 ,120.70 ,670.0 ,牙克石
50527,49.22 ,119.75 ,612.5 ,海拉尔
50548,49.20 ,123.72 ,287.2 ,小二沟
50557,49.17 ,125.23 ,243.0 ,嫩江
50564,49.43 ,127.35 ,235.1 ,孙吴
50566,49.58 ,128.47 ,113.0 ,逊克
50603,48.67 ,116.82 ,555.6 ,新巴尔虎右旗
50618,48.22 ,118.27 ,644.4 ,新巴尔虎左旗
50632,48.77 ,121.92 ,741.9 ,博克图
50639,48.00 ,122.73 ,307.9 ,扎兰屯
50645,48.47 ,124.48 ,193.4 ,莫力达瓦旗
50646,48.48 ,124.85 ,203.9 ,讷河
50647,48.12 ,123.48 ,219.5 ,阿荣旗
50655,48.50 ,126.18 ,273.2 ,德都
50656,48.28 ,126.52 ,272.0 ,北安
50658,48.05 ,125.88 ,236.3 ,克山
50659,48.03 ,126.25 ,294.7 ,克东
50673,48.88 ,130.40 ,91.5 ,嘉荫
50674,48.57 ,129.43 ,404.9 ,乌伊岭
50727,47.17 ,119.95 ,1027.8 ,阿儿山
50739,47.33 ,123.18 ,190.5 ,龙江
50741,47.93 ,123.50 ,186.6 ,甘南
50742,47.80 ,124.48 ,164.7 ,富裕
50745,47.38 ,123.92 ,147.3 ,齐齐哈尔
50749,47.18 ,124.83 ,154.6 ,林甸
50750,47.90 ,125.30 ,220.1 ,依安
50755,47.60 ,126.10 ,232.4 ,拜泉
50756,47.43 ,126.97 ,240.4 ,海伦
50758,47.17 ,125.90 ,249.9 ,明水
50767,47.23 ,127.10 ,204.0 ,绥棱
50772,48.12 ,129.25 ,299.1 ,五营
50774,47.73 ,128.92 ,245.8 ,伊春
50775,47.37 ,130.33 ,230.7 ,鹤岗
50776,47.57 ,130.83 ,84.8 ,萝北
50778,47.65 ,132.50 ,54.9 ,同江
50779,48.37 ,134.28 ,65.5 ,扶远
50787,47.28 ,131.85 ,63.0 ,绥滨
50788,47.23 ,131.98 ,65.0 ,富锦
50832,46.72 ,122.08 ,334.2 ,胡尔勒
50833,46.72 ,122.90 ,188.6 ,扎赉特旗
50834,46.60 ,121.22 ,501.0 ,索轮
50838,46.08 ,122.05 ,276.0 ,乌兰浩特
50842,46.87 ,124.43 ,151.0 ,杜尔伯特
50844,46.40 ,123.42 ,151.2 ,泰来
50851,46.68 ,126.10 ,206.3 ,青冈
50852,46.87 ,126.48 ,170.1 ,望奎
50853,46.62 ,126.97 ,180.4 ,绥化
50854,46.38 ,125.32 ,150.1 ,安达
50858,46.07 ,125.97 ,148.0 ,肇东
50859,46.25 ,126.27 ,163.9 ,兰西
50861,46.88 ,127.48 ,185.8 ,庆安
50862,46.98 ,128.02 ,213.4 ,铁力
50867,46.08 ,127.35 ,134.8 ,巴彦
50871,46.73 ,129.88 ,95.9 ,汤原
50873,46.82 ,130.28 ,82.2 ,佳木斯
50877,46.30 ,129.58 ,101.1 ,依兰
50878,47.02 ,130.72 ,79.3 ,桦川
50879,46.20 ,130.52 ,183.0 ,桦南
50880,46.72 ,131.13 ,106.0 ,集贤
50884,46.63 ,131.15 ,176.0 ,双鸭山
50888,46.32 ,132.18 ,83.5 ,宝清
50892,46.80 ,134.00 ,55.7 ,饶河
50913,45.72 ,118.80 ,867.3 ,乌拉盖
50915,45.52 ,116.97 ,840.0 ,东乌珠穆沁旗
50928,45.07 ,120.33 ,629.1 ,巴雅尔吐胡硕
50934,45.40 ,121.55 ,306.0 ,突泉
50936,45.63 ,122.83 ,156.3 ,白城
50937,45.05 ,121.47 ,250.6 ,科尔沁右翼中旗
50939,45.33 ,122.82 ,151.7 ,洮南
50940,45.85 ,123.17 ,142.3 ,镇赉
50945,45.50 ,124.27 ,138.5 ,大安
50946,45.18 ,124.83 ,139.9 ,扶余
50948,45.00 ,124.02 ,148.0 ,乾安
50949,45.12 ,124.83 ,137.8 ,前郭尔罗斯
50950,45.70 ,125.25 ,149.7 ,肇州
50953,45.75 ,126.77 ,143.0 ,哈尔滨
50954,45.50 ,125.08 ,128.5 ,肇源
50955,45.38 ,126.30 ,167.3 ,双城
50956,46.00 ,126.60 ,124.6 ,呼兰
50958,45.52 ,126.97 ,175.3 ,阿城
50960,45.78 ,127.45 ,192.5 ,宾县
50962,45.95 ,128.03 ,113.6 ,木兰
50963,45.97 ,128.73 ,110.0 ,通河
50964,45.83 ,128.80 ,120.0 ,方正
50965,45.45 ,128.30 ,157.0 ,延寿
50968,45.22 ,127.97 ,191.0 ,尚志
50973,45.75 ,130.58 ,220.5 ,勃利
50978,45.28 ,130.95 ,238.1 ,鸡西
50979,45.27 ,130.23 ,274.2 ,林口
50983,45.77 ,132.97 ,103.5 ,虎林
50985,45.55 ,131.87 ,151.4 ,密山
50987,45.25 ,131.13 ,177.7 ,鸡东
51053,48.05 ,86.40 ,534.0 ,哈巴河
51057,48.13 ,85.60 ,449.7 ,一八五团
51058,47.10 ,86.62 ,1226.2 ,黑山头
51059,47.43 ,85.87 ,983.9 ,吉木乃
51060,47.70 ,86.87 ,475.5 ,布尔津
51068,47.12 ,87.47 ,502.0 ,福海
51076,47.73 ,88.08 ,736.9 ,阿勒泰
51087,46.98 ,89.52 ,826.6 ,富蕴
51133,46.73 ,83.00 ,536.6 ,塔城
51137,46.20 ,82.93 ,716.2 ,裕民
51145,46.55 ,83.65 ,523.3 ,额敏
51156,46.78 ,85.72 ,1294.2 ,和布克赛尔
51186,46.67 ,90.38 ,1220.0 ,青河
51232,45.18 ,82.58 ,286.4 ,阿拉山口
51238,44.90 ,82.07 ,532.9 ,博乐
51241,45.93 ,83.60 ,1077.7 ,托里
51243,46.28 ,84.85 ,445.6 ,克拉玛依
51288,45.37 ,90.53 ,1654.7 ,北塔山
51328,44.20 ,80.42 ,774.0 ,霍尔果斯
51329,44.05 ,80.85 ,641.0 ,霍城
51330,44.97 ,81.02 ,1353.9 ,温泉
51334,44.62 ,82.90 ,321.2 ,精河
51346,44.43 ,84.67 ,478.3 ,乌苏
51352,44.85 ,85.25 ,337.8 ,炮台
51353,45.02 ,86.10 ,347.2 ,莫索湾
51356,44.32 ,86.05 ,443.7 ,石河子
51357,44.33 ,85.62 ,523.2 ,沙湾
51358,44.28 ,85.82 ,469.0 ,乌兰乌苏
51359,44.32 ,86.20 ,472.2 ,玛纳斯
